startup_id,mentor_id,FIT2,FIT2_confidence,FIT2_explicability,FIT2_evidence_quotes,FIT2_objective_alignment,FIT2_missing_info_flags
startup_001,MENTOR_011,0.48,0.72,"The mentor has strong climate finance and investment expertise relevant to Objective 2 (fundraising), but lacks demonstrated technical expertise for Objective 1 (24-hour system run at 1,100°C) or IP/R&D strategy experience for Objective 3. The mentor's capital markets background and climate finance advisory role provide moderate help with the fundraising challenge in a difficult market, but cannot directly address the technical milestone delays or supply chain bottlenecks.","[{'from': 'mentor', 'quote': '25+ years Canadian capital markets; climate finance advisor'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No technical expertise in industrial heating systems or engineering'}, {'objective': 2, 'alignment': 0.75, 'why': 'Strong capital markets and climate finance background directly relevant to fundraising'}, {'objective': 3, 'alignment': 0.25, 'why': 'No demonstrated IP strategy or R&D optimization experience mentioned'}]","[""Mentor's specific experience with deep-tech or hardware startups unclear"", ""No information on mentor's network access to climate-tech investors"", ""Mentor's hands-on involvement style versus advisory role not specified""]"
startup_001,MENTOR_012,0.68,0.75,"The mentor's 20+ years of public-private funding expertise and EU-funded project coordination directly address objective 2 (obtaining initial funding commitments) and can help navigate the challenging fundraising environment mentioned in the CEO update. However, there is limited evidence of technical expertise to support objective 1 (24-hour system run at 1,100°C) or deep IP/USP strategy development for objective 3, though policy influence experience may provide indirect value for IP strategy.","[{'from': 'mentor', 'quote': '20+ years public-private funding expertise; advisor to EU governments and European Commission'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of technical expertise in high-temperature industrial heating systems'}, {'objective': 2, 'alignment': 0.95, 'why': 'Deep tech angel and fundraiser with extensive public-private funding experience directly matches funding needs'}, {'objective': 3, 'alignment': 0.45, 'why': 'Policy influence and EU project coordination may inform IP strategy, but no direct IP/USP expertise shown'}]","[""Mentor's specific experience with deep-tech hardware or industrial equipment fundraising"", ""Mentor's track record with climate-tech investments in current market conditions"", ""Mentor's knowledge of IP strategy development for hardware innovations""]"
startup_001,MENTOR_013,0.22,0.75,"The mentor's expertise in agri-tech, sustainable agriculture, and entomology shows no direct relevance to industrial heat decarbonization, high-temperature system engineering, or IP strategy for power-to-heat technology. While the mentor has investment and project management operational tags, there is insufficient evidence of experience with deep-tech hardware fundraising, industrial equipment manufacturing, or thermal engineering challenges that are central to Heatrix's current objectives.","[{'from': 'mentor', 'quote': 'Agri Tech; Sustainable Agriculture'}, {'from': 'startup', 'quote': 'delayed 24-hour heater test has postponed a critical technology milestone'}]","[{'objective': 1, 'alignment': 0.05, 'why': 'No thermal engineering or industrial heat expertise evident'}, {'objective': 2, 'alignment': 0.35, 'why': 'Investment tag present but no evidence of deep-tech or climate-tech fundraising experience'}, {'objective': 3, 'alignment': 0.1, 'why': 'No IP strategy or heating technology R&D background shown'}]","[""Mentor's specific investment experience in deep-tech or climate-tech sectors"", ""Mentor's track record with hardware or industrial equipment startups"", ""Details on mentor's project management experience in technical R&D contexts""]"
startup_001,MENTOR_014,0.22,0.75,"The mentor's expertise in brand, communications, and startup scaling offers limited direct help with Heatrix's current technical objectives (24-hour heater test, heating method optimization) or supply chain bottlenecks. Some generic value may exist for fundraising strategy given the mentor's investment operations experience, but there is no evidence of deep-tech fundraising, industrial equipment, or IP strategy expertise that directly addresses the stated objectives and challenges.","[{'from': 'mentor', 'quote': 'leads brand and communications; background in film and journalism'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.05, 'why': 'No technical or industrial heat expertise evident'}, {'objective': 2, 'alignment': 0.35, 'why': 'Generic startup scaling and investment experience, but no deep-tech fundraising specificity'}, {'objective': 3, 'alignment': 0.1, 'why': 'No IP strategy or R&D optimization expertise shown'}]","[""Mentor's specific experience with deep-tech or hardware fundraising"", ""Mentor's involvement in IP strategy or technical R&D projects"", ""Mentor's supply chain or industrial operations experience""]"
startup_001,MENTOR_015,0.72,0.85,"The mentor is an EPO litigation specialist with expertise in strategic IP management, directly addressing objective 3 (IP and USP strategy development). Climate Tech alignment supports general domain understanding. However, the mentor lacks demonstrated expertise in technical system optimization, fundraising, or supply chain management needed for objectives 1 and 2.","[{'from': 'startup', 'quote': 'Develop an IP and USP strategy for the R&D project aimed at optimizing the current heater design'}, {'from': 'mentor', 'quote': 'Strategic IP Management; EPO litigation specialist; General Editor of Encyclopedia of UK & European Patent Law'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No technical engineering or industrial heat expertise evident'}, {'objective': 2, 'alignment': 0.25, 'why': 'No fundraising or investor relations expertise shown'}, {'objective': 3, 'alignment': 0.95, 'why': 'Direct IP strategy expertise with patent law specialization'}]","[""Mentor's experience with fundraising or investor engagement unclear"", 'No evidence of technical system development or supply chain expertise']"
startup_001,MENTOR_016,0.42,0.7,"The mentor has strong climate tech investment experience (70+ investments) which directly addresses objective 2 (fundraising) and the challenge of securing investor attention in a market focused on AI/defense. However, there is no evidence of expertise in industrial hardware, thermal systems, IP strategy, or technical operations needed for objectives 1 and 3. The fit is moderate for fundraising but weak for technical and IP development needs.","[{'from': 'mentor', 'quote': '70+ climate tech investments'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of industrial thermal systems or hardware testing expertise'}, {'objective': 2, 'alignment': 0.85, 'why': 'Strong climate tech investment track record directly relevant to fundraising needs'}, {'objective': 3, 'alignment': 0.25, 'why': 'No evidence of IP strategy or R&D optimization experience in hardware/deep-tech'}]","[""No information on mentor's experience with hardware/deep-tech companies"", ""No information on mentor's knowledge of industrial heat or manufacturing sectors"", ""No information on mentor's IP strategy or technical R&D advisory experience""]"
startup_001,MENTOR_017,0.42,0.65,"The mentor's expertise in ESG, climate tech, and corporate innovation provides moderate relevance to Heatrix's fundraising challenges in the climate-tech space and potential strategic positioning. However, there is no direct evidence of technical expertise in industrial heating systems, materials science, or supply chain management needed for the 24-hour test milestone or component procurement bottlenecks. The IP/USP strategy development could benefit from corporate innovation experience, but this connection is indirect.","[{'from': 'mentor', 'quote': 'Climate Tech; ESG Compliance; Corporate Innovation'}, {'from': 'startup', 'quote': 'challenging in a market currently heavily focused on Al and defense, reducing investor attention toward climate-tech'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No technical expertise in industrial heating or materials testing evident'}, {'objective': 2, 'alignment': 0.65, 'why': 'Climate-tech expertise and corporate networks may help navigate investor landscape'}, {'objective': 3, 'alignment': 0.45, 'why': 'Corporate innovation experience could inform strategic IP positioning indirectly'}]","['No evidence of technical expertise in high-temperature industrial processes or materials science', 'No explicit experience with early-stage deep-tech fundraising or investor relations', 'No supply chain management or procurement expertise mentioned']"
startup_001,MENTOR_018,0.42,0.65,"The mentor has deep-tech scaling experience and operational expertise relevant to supply chain bottlenecks and fundraising challenges. However, there is no evidence of technical expertise in industrial heating systems, materials science, or IP strategy for hardware R&D, which are critical for objectives 1 and 3. The mentor's climate-tech background provides general domain alignment but lacks specificity for the current technical and IP-focused needs.","[{'from': 'mentor', 'quote': 'scaled fintech, agritech & deep tech startups'}, {'from': 'startup', 'quote': 'Supply management remains a bottleneck, limiting the ability to secure components on time'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical expertise in high-temperature heating systems or lab-scale testing'}, {'objective': 2, 'alignment': 0.65, 'why': 'Strong operational and scaling experience relevant to fundraising and investor outreach campaigns'}, {'objective': 3, 'alignment': 0.35, 'why': 'Deep-tech experience provides context but no specific IP strategy or hardware R&D expertise shown'}]","['No evidence of technical expertise in industrial heating, materials science, or thermal systems', 'No specific IP strategy or patent development experience mentioned', 'Unclear if mentor has experience with hardware supply chain management or component sourcing']"
startup_001,MENTOR_019,0.68,0.72,"The mentor has strong expertise in fundraising and investor readiness, directly addressing objective 2 and the challenge of launching a fundraising round in a difficult market. Climate Tech and Deep Tech tags provide domain context, though there is no explicit evidence of technical expertise for objective 1 (24-hour system run) or IP/USP strategy development for objective 3.","[{'from': 'mentor', 'quote': 'Advises startups on sustainable growth, sales optimization, and investor readiness'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical or engineering expertise for system testing'}, {'objective': 2, 'alignment': 0.95, 'why': 'Strong match: fundraising and investor readiness are core mentor competencies'}, {'objective': 3, 'alignment': 0.45, 'why': 'No explicit IP strategy expertise; general startup scaling may offer limited help'}]","['No evidence of technical/engineering expertise for objective 1', 'No explicit IP or R&D strategy experience for objective 3', ""Limited detail on mentor's specific climate-tech fundraising track record""]"
startup_001,MENTOR_020,0.68,0.72,"The mentor has strong relevance for objective 2 (fundraising) as a deep-tech investor with climate tech expertise, directly addressing the startup's challenge of securing funding in a difficult market. However, the mentor's profile provides limited evidence of technical expertise for objective 1 (24-hour system run at 1,100°C) or IP/USP strategy development for objective 3, resulting in moderate overall fit.","[{'from': 'mentor', 'quote': 'Deep-tech investor; former Swedish Technical Attaché; ex-Gartner VP'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.35, 'why': 'No evidence of technical expertise in high-temperature systems or industrial heat'}, {'objective': 2, 'alignment': 0.92, 'why': 'Deep-tech investor with climate tech focus directly matches fundraising needs'}, {'objective': 3, 'alignment': 0.45, 'why': 'General deep-tech experience may help, but no specific IP strategy expertise shown'}]","[""Mentor's specific experience with industrial heat or materials science unclear"", ""No detail on mentor's IP strategy or R&D optimization experience"", ""Mentor's investment thesis and portfolio companies not specified""]"
startup_001,MENTOR_021,0.42,0.55,"Mentor has climate tech and sustainability strategy expertise relevant to Heatrix's decarbonization mission, but lacks direct technical expertise in industrial heating systems, materials science, or hardware R&D. The mentor's corporate innovation and energy consulting background may provide some value for investor positioning and market strategy, but offers limited actionable help for the critical technical milestone (24-hour heater test) or supply chain bottlenecks. Insufficient evidence of IP strategy, deep-tech fundraising, or industrial equipment development experience.","[{'from': 'mentor', 'quote': 'Global Head Climate Tech; ESG; Climate Tech; Data & Analytics; AI for Sustainability'}, {'from': 'mentor', 'quote': '20+ years energy & utilities consulting; Sustainability Strategy; Corporate Innovation'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical expertise in industrial heating systems or hardware testing'}, {'objective': 2, 'alignment': 0.55, 'why': 'Energy consulting background may help with investor positioning in climate-tech market'}, {'objective': 3, 'alignment': 0.35, 'why': 'Corporate innovation experience but no specific IP strategy or R&D optimization expertise shown'}]","['No evidence of industrial equipment or hardware development experience', 'No specific IP strategy or patent development expertise mentioned', 'No supply chain management experience indicated', 'Unclear if mentor has deep-tech or hardware startup fundraising experience', 'No materials science or high-temperature systems expertise']"
startup_001,MENTOR_022,0.42,0.65,"The mentor has energy sector experience and entrepreneurship/innovation leadership, which provides general context for climate-tech ventures. However, there is no evidence of expertise in industrial heat technology, equipment manufacturing, technical R&D optimization, or supply chain management—the core technical challenges Heatrix faces. The mentor may offer generic fundraising and visibility guidance but lacks direct alignment with the startup's most critical current needs.","[{'from': 'mentor', 'quote': 'Director of Entrepreneurship & Innovation at École Polytechnique'}, {'from': 'mentor', 'quote': 'energy policy expert'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of technical expertise in high-temperature systems or equipment testing'}, {'objective': 2, 'alignment': 0.65, 'why': 'Entrepreneurship leadership and energy sector connections may help with investor outreach'}, {'objective': 3, 'alignment': 0.25, 'why': 'No evidence of IP strategy or R&D optimization expertise in industrial heating'}]","[""No details on mentor's specific experience with industrial heat or manufacturing"", 'No evidence of technical R&D or supply chain management expertise', ""Limited information on mentor's investor network or fundraising track record""]"
startup_001,MENTOR_023,0.28,0.75,"The mentor's finance and institutional client expertise offers generic fundraising guidance, but lacks direct relevance to the startup's technical objectives (24-hour heater test, heating method optimization) and supply chain bottlenecks. The climate-tech fundraising challenge may benefit marginally from the mentor's investor network experience, though the mentor's focus areas (fintech, ESG, risk assessment) do not align closely with deep-tech hardware or industrial decarbonization.","[{'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}, {'from': 'mentor', 'quote': '35 years global finance leadership; former Amundi Global Head of Sales'}]","[{'objective': 1, 'alignment': 0.05, 'why': 'No technical or engineering expertise for heater testing'}, {'objective': 2, 'alignment': 0.55, 'why': 'Finance leadership may help investor outreach strategy'}, {'objective': 3, 'alignment': 0.1, 'why': 'No IP strategy or R&D optimization experience evident'}]","[""Mentor's specific experience with climate-tech or deep-tech fundraising"", ""Mentor's network relevance to industrial decarbonization investors"", ""Mentor's familiarity with hardware supply chain challenges""]"
startup_001,MENTOR_024,0.12,0.85,"Insufficient info. The mentor profile provides only a title (PhD Candidate) and affiliation, with no expertise details, technical background, or operational experience described. Cannot assess ability to help with technical system demonstrations, fundraising strategy, or IP/USP development.","[{'from': 'mentor', 'quote': 'PhD Candidate'}, {'from': 'startup', 'quote': 'delayed 24-hour heater test has postponed a critical technology milestone'}]","[{'objective': 1, 'alignment': 0.1, 'why': 'No technical expertise or industrial heat experience indicated'}, {'objective': 2, 'alignment': 0.15, 'why': 'No fundraising, investor relations, or climate-tech investment experience shown'}, {'objective': 3, 'alignment': 0.1, 'why': 'No IP strategy, R&D management, or heating technology expertise evident'}]","[""Mentor's research focus or PhD topic"", 'Technical expertise areas', 'Industry experience or operational background', 'Fundraising or investor network experience', 'IP or commercialization strategy experience']"
startup_001,MENTOR_025,0.22,0.75,"The mentor's automotive and software-defined vehicle expertise shows minimal direct relevance to Heatrix's current technical objectives (achieving 1,100°C continuous operation, brick production heat delivery) or their industrial heat decarbonization domain. While consulting and joint venture management experience could offer generic business guidance for fundraising (objective 2), there is no evidence of expertise in deep-tech hardware, thermal systems, IP strategy for heating technologies, or supply chain management for industrial equipment components.","[{'from': 'mentor', 'quote': '30+ years automotive leadership; GM Canada & China; SDV transformation expert'}, {'from': 'startup', 'quote': 'launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.05, 'why': 'No thermal systems or industrial heat expertise evident'}, {'objective': 2, 'alignment': 0.45, 'why': 'General business leadership may help with investor strategy'}, {'objective': 3, 'alignment': 0.15, 'why': 'No IP strategy experience shown for heating/materials technologies'}]","['No evidence of industrial equipment or thermal engineering background', 'No demonstrated experience in climate-tech or deep-tech fundraising', 'No supply chain expertise for specialized industrial components']"
startup_001,MENTOR_026,0.28,0.75,"The mentor's expertise in SaaS, robotics, and digital transformation shows weak alignment with Heatrix's immediate technical objectives (24-hour heater test, heating method optimization) and fundraising challenges in climate-tech. Operations and investment experience provide generic relevance, but lack direct applicability to industrial heat decarbonization, supply chain bottlenecks for specialized components, or IP strategy for novel heating technology.","[{'from': 'mentor', 'quote': 'Operations; Investment'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense'}]","[{'objective': 1, 'alignment': 0.15, 'why': 'No evidence of thermal systems or industrial equipment expertise'}, {'objective': 2, 'alignment': 0.45, 'why': 'Investment operations tag suggests generic fundraising guidance possible'}, {'objective': 3, 'alignment': 0.25, 'why': 'No IP strategy or R&D optimization experience evident for hardware/deep-tech'}]","[""Mentor's specific investment sector focus or climate-tech experience unclear"", 'No evidence of supply chain management expertise for specialized industrial components', ""Lack of detail on mentor's operational experience in hardware or manufacturing contexts""]"
startup_001,MENTOR_027,0.42,0.65,"The mentor's background as a former Siemens Executive Committee member and ex-McKinsey Global Director provides relevant experience in industrial operations and strategic planning that could help with supply chain bottlenecks and investor outreach strategy. However, the mentor's core expertise in robotics, industrial automation, and space tech does not directly address the startup's immediate technical challenges with high-temperature heating systems or the specific IP/USP strategy for novel heating methods.","[{'from': 'startup', 'quote': 'Supply management remains a bottleneck, limiting the ability to secure components on time and with the required specifications.'}, {'from': 'mentor', 'quote': 'Former Siemens Executive Committee; ex-McKinsey Global Director'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'Industrial automation experience may offer process insights but not high-temperature heating expertise'}, {'objective': 2, 'alignment': 0.55, 'why': 'Executive and McKinsey background relevant for investor strategy and fundraising approach'}, {'objective': 3, 'alignment': 0.45, 'why': 'Strategic experience and PhD in physics provide some foundation for IP strategy but not heating-specific'}]","[""Mentor's specific experience with industrial heat applications or thermal systems"", ""Mentor's track record with climate-tech or deep-tech fundraising"", ""Details on mentor's supply chain management experience at Siemens""]"
startup_001,MENTOR_028,0.68,0.72,"The mentor has strong climate-tech and deep-tech investment expertise, directly relevant to objective 2 (fundraising in a challenging climate-tech market). Their venturing leadership and former CIO/VP Digital Science background provide credible support for IP/USP strategy development (objective 3). However, there is no evidence of direct technical expertise in industrial heating systems or materials science needed for objective 1's 24-hour test milestone.","[{'from': 'mentor', 'quote': 'DeepTech & climate venturing leader'}, {'from': 'startup', 'quote': 'Launching a fundraising round is challenging in a market currently heavily focused on Al and defense, reducing investor attention toward climate-tech'}]","[{'objective': 1, 'alignment': 0.25, 'why': 'No evidence of technical expertise in industrial heating or materials testing'}, {'objective': 2, 'alignment': 0.85, 'why': 'Climate-tech investment expertise directly addresses fundraising challenges in current market'}, {'objective': 3, 'alignment': 0.75, 'why': 'Deep-tech venturing and former CIO experience relevant to IP/USP strategy development'}]","['No specific technical expertise in industrial heating systems or high-temperature materials', 'No evidence of supply chain management experience for objective-related bottleneck']"
